#Mean = 5.02373
#Minimum = 0.000411464
#Maximum = 40.8025
0 194
. 201
. 201
. 177
. 150
1 156
. 165
. 149
. 158
. 130
2 137
. 116
. 138
. 118
. 102
3 103
. 105
. 101
. 83
. 92
4 73
. 74
. 82
. 74
. 57
5 82
. 81
. 69
. 61
. 52
6 48
. 45
. 54
. 57
. 43
7 54
. 40
. 48
. 55
. 36
8 48
. 32
. 34
. 44
. 36
9 31
. 43
. 39
. 14
. 30
10 30
. 29
. 25
. 22
. 28
11 16
. 22
. 19
. 14
. 18
12 16
. 23
. 19
. 17
. 16
13 14
. 14
. 15
. 24
. 16
14 4
. 7
. 6
. 12
. 4
15 9
. 9
. 12
. 5
. 9
16 7
. 10
. 11
. 9
. 5
17 4
. 9
. 5
. 9
. 5
18 7
. 8
. 4
. 4
. 2
19 5
. 3
. 3
. 4
. 2
